pitch,roll,yaw,gyrox,gyroy,gyroz,accz,accx,accy,secayo,messageIndex
-6.16,0.74,15.81,15.74,-70.72,16.22,0.99,0.09,-0.06,0,15
-13.79,0.78,21.42,15.94,-42.17,2.68,1.09,0.19,-0.03,0,17
-14.1,0.32,26.33,-7.9,-10.87,15.3,1.05,0.24,0,0,19
-7.58,-1.13,29.83,-0.09,17.49,14.31,1.1,0.1,-0.03,0,20
-3.01,-0.24,32.53,7.07,8.65,7.23,1.07,0.01,-0.03,0,21
-0.02,0.25,34.36,6.03,-6.17,5.91,1.02,-0.03,-0.01,0,22
3.25,1.32,34.92,5.69,5.89,0.02,0.99,-0.13,0,0,23
6.48,2.67,35.19,-10.87,-35.18,3.06,0.95,-0.12,0.03,0,24
-5.47,-3.12,34.35,-13.94,12.18,-6.3,1.06,0.15,-0.09,0,25
-9.66,1.9,32.09,-7.33,15.58,-12.04,1.06,0.2,0.01,0,26
-6.85,-1.03,30.67,2.75,-26.97,1.11,1.09,0.11,-0.02,0,27
-14.77,1.4,31.17,16.07,-36.03,2.92,1.09,0.27,0.1,0,28
-17.9,2.07,32.52,-18.52,25.98,10.82,1.06,0.36,-0.15,0,29
-3.81,-1.71,37.6,-9.07,4.27,6.77,1.04,0.01,-0.18,0,30
-0.18,1.05,39.16,-0.2,-20.51,3.82,1.03,0.02,0.04,0,31
-2.67,-2.41,38.27,16.32,73.77,-4.31,1.09,0.01,0,0,32
1.49,-1.15,37.14,-5.01,12.59,-13.34,1.08,0.01,-0.02,0,33
-1.77,-0.79,24.25,-5.88,19.89,-16.62,0.98,0.1,-0.01,0,35
-12.11,1.45,22,-10.29,31.8,-4.94,1,0.22,0.02,0,36
-8.07,0.06,20.43,18.93,11.11,-0.89,1.04,0.13,-0.01,0,37
-9.72,3.89,21.13,-13.03,15.31,13.47,1.01,0.17,0.07,0,38
-4.36,-2.09,25.8,6.26,-16.28,3.73,0.89,0.25,0.1,0,39
4.36,4.68,22.86,8.78,51.72,-26.59,0.93,-0.04,0.1,0,40
10.5,3.74,15.66,1.72,17.48,-24.76,0.96,-0.13,0.08,0,41
-8.72,-5.19,9.83,-15.07,44.22,-13.11,0.88,0.26,0.18,0,42
-11.24,3.42,8.92,-9.33,18.44,-2.79,1.04,0.09,0.09,0,43
-7.85,4.5,7.37,-6.32,20.58,-1.87,1.03,0.13,0.11,0,44
-7.32,-11.89,8.2,-3.24,71.2,26.23,1.04,-0.02,0.13,0,45
7.84,1.69,1.86,5.37,50.53,-37.84,1.05,-0.11,0.08,0,46
11.22,3.94,-5.15,-27.82,-14.34,-18.97,0.96,-0.17,0.05,0,47
-13.31,1.27,-7.56,22.88,-9.87,-2.19,0.54,0.68,0.05,0,48
-9.17,2.39,-8.44,-0.8,8.64,-3.02,1.07,0.2,-0.03,0,49
-8.97,-7.52,-8.14,-39.85,-37.62,-54.18,0.5,0.34,-1.04,0,50
6.49,-1.94,-9.61,-5.88,22.13,-18.1,1.13,-0.13,0.02,0,51
7.81,0.85,-12.24,-11.7,7.74,-1.75,1.09,-0.08,0.08,0,52
-2.32,-9.56,-14.98,-19.53,11.92,13.49,1.18,-0.11,-0.11,0,53
-10.93,3.13,-13.27,20.44,-25.94,3.12,1.09,0.17,0.12,0,54
-11.32,4.7,-12.94,-25.15,24.12,6.77,1.11,0.16,0.04,0,55
-1.74,-0.02,-10.83,-4.02,21.45,-13.32,0.98,-0.01,-0.08,0,56
3.51,0.27,-12.17,6.76,-3.58,0.42,1.09,-0.09,-0.06,0,57
-0.94,1.27,-11.57,-10.09,-31.41,-1.11,1.08,0.02,0.01,0,58
-6.97,-4,-13.03,2.33,-14.03,-1.66,1.1,0.09,0,0,59
-12.6,3.25,-14.99,2.93,2.68,-8.18,1.04,0.22,0.11,0,60
-10.82,1.71,-17.13,-3.9,22.32,-2.44,1.06,0.19,0.09,0,61
-8.11,-0.72,-17.77,-2.23,2.55,0.83,1.09,0.15,0.01,0,62
-10.5,0.19,-17.5,1.26,-6.55,3.81,1.08,0.19,0.01,0,63
-11.02,0.42,-16.69,2.23,-7.87,3.11,1.09,0.19,0,0,64
-11.6,0.51,-16.48,-0.2,1.22,1.11,1.08,0.22,0.01,0,65
-10.7,-0.1,-16.39,1.11,4.42,-0.13,1.11,0.21,-0.01,0,66
-9.89,0.02,-15.88,9.95,5.14,4.6,1.11,0.21,0,0,67
-8.38,1.55,-13.81,-1.99,10.93,11.96,1.12,0.17,0.02,0,68
-7.55,1.63,-9.69,3.37,2.58,13.81,0.93,0.24,0.11,0,69
-0.2,2.29,-8.15,-8.99,9.35,-4.68,0.96,0.01,0,0,70
0.53,-1.53,-9.44,3.97,-7.29,-3.52,1.09,0.01,-0.03,0,71
-1.42,-0.56,-10.13,-1.51,-19,0.11,1.14,-0.01,-0.02,0,72
-4.56,-2.71,-10.86,-12.43,-30.8,18.25,1.1,-0.13,0.08,0,73
-12.2,4.47,-6.43,8.84,-29.76,20.37,1.09,0.19,0.11,0,74
-7.16,2.64,-3.57,-9.77,7.22,8.78,1.15,0.13,0.06,0,75
-1.78,2.02,-1.17,-23.97,12,-10.06,0.89,0.12,0.2,0,76
3.6,1.15,-6.22,3.33,23.19,-18.99,1.1,-0.05,-0.02,0,77
0.39,0.03,-8.85,-1.44,-5.16,-9.32,1.04,0.07,0,0,78
-2.32,-4.94,-9.67,-9.59,-35.41,19.17,1.13,-0.13,0.05,0,79
-9.72,3.88,-6.69,16.3,-17.79,6.49,1.09,0.21,0.09,0,80
-4.93,1.83,-5.78,-5.16,7.95,6.97,1.15,0.06,-0.03,0,81
-0.84,-3.54,-2.5,-1.27,15.28,5.04,1.04,0.01,0.38,0,82
5.63,1.26,-7.58,3.72,44.44,-20.71,1.1,-0.07,0.04,0,83
3.66,1.05,-9.29,-8.09,-20.84,0.23,1.05,0,0.01,0,84
0.49,-6.15,-7.35,1.48,-110.08,8.05,1.1,-0.01,-0.15,0,85
-11.1,0.3,-3.72,10.97,-24.49,10.31,1.19,0.22,-0.04,0,86
-4.51,-0.88,-1.85,-22.92,1.97,10.94,1.26,-0.06,-0.15,0,87
-1.35,-3.76,-1.3,3.37,17.23,-16.18,1.11,-0.18,-0.21,0,88
6.43,-0.4,-3.6,-1.9,-10.68,4.69,1.27,-0.16,-0.1,0,89
0.19,-0.63,-2.46,-4.96,-32.94,7,1.17,-0.07,-0.04,0,90
-14.96,-3.92,-1.19,44.39,-76.08,9.56,0.85,0.48,-0.11,0,91
-14.98,3.73,2.16,10.07,-6.74,17.79,1.16,0.26,0.13,0,92
-9.9,-13.12,6.59,-13.44,49.4,36.97,1.24,-0.28,-0.07,0,93
1.66,-2.05,8.81,-0.92,-42.52,-4.99,1.2,-0.11,0.02,0,94
-8.03,-1.32,12.07,6.91,-76.68,13.52,1.22,0.1,-0.03,0,95
-14.63,-10.59,15.46,-18.45,-44.22,13.87,1.16,0.21,-0.44,0,96
-21.15,-1.12,19.73,77.08,-86.57,-5.73,1.06,0.43,-0.13,0,97
-21.98,3.65,21.99,26.21,-59.06,22.86,1.14,0.3,0.02,0,98
-16.11,-5.95,26.84,-26.06,2.9,3.98,0.76,0.35,-0.53,0,99
3.54,-4.07,28.94,-10.15,12.51,11.17,1.2,-0.29,-0.1,0,100
-9.22,-2.17,33.31,20.91,-98.34,27.36,1.22,0.16,-0.01,0,101
-8.84,-2.55,37.59,-7.82,-101.06,-13.83,1.15,0.11,-0.25,0,102
-24.04,-2.05,36.69,72.41,-109.3,17.43,1.02,0.74,-0.07,0,103
-19.49,5.78,43.38,17.92,-28.58,20.04,1.2,0.26,0.09,0,104
-7.94,-7.09,48.17,-16.83,1.75,21.29,1.11,-0.05,0.23,0,105
3.82,-1.78,47.78,14.7,15.25,-5.28,1.14,-0.1,-0.01,0,106
1.72,-1.04,46.88,-6.45,-37.81,-7.78,1.2,-0.01,-0.14,0,107
-0.69,-5.76,46.1,6.76,-121.73,0.94,1.25,-0.13,-0.15,0,108
-13.78,5.24,48.36,6.46,-17.03,1.65,1.15,0.23,0.07,0,109
-5.22,-1.6,49.74,-25.47,-4.74,7.3,1.23,-0.02,-0.23,0,110
-3.55,-2.8,51.39,16.93,52.33,-23.93,1.13,-0.05,-0.19,0,111
4.44,-1.42,47.96,7.88,-1.07,-4.57,1.26,-0.12,-0.08,0,112
-4.76,-2.01,48.35,-19.67,1.77,1.53,1.18,0.06,-0.1,0,113
