pitch,roll,yaw,gyrox,gyroy,gyroz,accz,accx,accy,secayo,messageIndex
8.03,-1,-0.6,1.76,9.23,-4.41,1.11,-0.15,-0.04,0,0
6.41,-1.01,-2.01,0.97,-9.85,-2.87,1.07,-0.11,-0.03,0,1
5.06,-0.92,-2.13,-4.59,-10.31,2.87,1.06,-0.11,-0.03,0,2
4.9,0.12,-0.62,12.54,4.77,-3.56,1.02,-0.09,0.02,0,3
5.95,-1.31,-3.08,7.55,-15.1,-1.97,1.08,-0.11,-0.05,0,4
4.51,-0.76,-3.12,-1.14,-2.49,1.57,1.06,-0.09,-0.02,0,5
5.37,-0.73,-1.53,-0.99,-2.07,6.95,1.04,-0.1,0.01,0,6
5.68,-0.06,-3.64,-0.99,17.66,-11.56,1.07,-0.08,0,0,7
3.83,-0.36,-3.84,-0.24,-3.04,-1.13,0.99,-0.05,0.01,0,8
3.04,-1.65,-2.71,-3.38,14.03,12.63,1.05,-0.07,-0.04,0,9
4.92,-0.2,-2.76,-1.55,9.74,0.14,1.03,-0.08,0,0,10
5.41,0.34,-3.4,2.1,0.04,-9.51,1.03,-0.08,0.03,0,11
4.76,-2.42,-5.17,3.85,10.68,7.33,1.1,-0.13,-0.06,0,12
5.17,-0.69,-2.69,1.99,5.98,9.42,1.07,-0.16,0.01,0,13
6.26,-0.37,-2.2,-4.96,8.21,0.52,1.04,-0.08,-0.01,0,14
7,-0.91,-3.42,2.51,5.41,-5.53,1.1,-0.15,-0.08,0,15
6.74,-0.34,-2.54,27.91,17.66,1.86,1.02,-0.19,-0.01,0,16
5.47,1.22,-8.12,-0.32,94.1,-10.99,0.78,0.06,-0.02,0,17
13.48,2.92,-12.14,-16.73,65.09,-26.49,0.92,-0.13,0.03,0,18
5.3,-6.34,-18.39,-15.19,44.73,-16.29,1.02,0.02,-0.13,0,19
-7.06,2.72,-20.23,2.39,78.24,-6.34,1.09,0.1,0.22,0,20
-1.2,-0.73,-24,-4.71,70.22,-1.6,1.1,0.07,-0.01,0,21
-1,-8.84,-21.47,-7.28,-32.3,-0.43,0.7,0.22,-0.5,0,22
7.87,0.4,-22.84,-20.65,77.41,-28.41,0.95,-0.04,0,0,23
15.53,2.67,-25.3,4.59,6.74,-4.84,1.18,-0.32,0.16,0,24
-10.16,-3.38,-25.75,64.36,-117.59,3.54,0.68,0.48,0.04,0,25
-11.74,12.26,-23.75,0.8,48.48,6.79,0.9,0.14,0.11,0,26
-5.23,0.14,-20.34,-25.31,108.86,31.91,0.9,-0.11,0.55,0,27
9.34,2.53,-26.7,10.75,-43.56,-31.68,1.05,-0.14,0.07,0,28
-18.73,-11.39,-32.4,-45.64,20.35,-10.64,1.13,0.31,-0.43,0,29
-20.96,2.76,-31.76,0.36,-16.36,0.02,1.03,0.14,0.3,0,30
-15.13,6.92,-31.04,-24.64,23.9,10.06,1.06,0.19,-0.11,0,31
-2.55,-0.59,-25.78,2.17,14.28,24.12,1.01,-0.15,-0.18,0,32
0.05,5.43,-19.42,-1.83,-9.82,24.09,0.92,-0.04,0.13,0,33
3.92,-4.09,-15.76,34.54,-95.3,41.71,0.82,-0.26,-0.17,0,34
-8.2,12.5,-7.92,14.07,-7.53,16.85,0.81,0.03,0.31,0,35
4.08,-6.8,-9.32,0.55,-2.31,29.45,0.77,-0.1,0.35,0,36
12.14,2.59,-7.69,-6.24,-70.68,16.52,0.94,-0.28,0,0,37
-1.92,4.07,-4.87,24.89,-45.12,-10.67,0.54,0.06,0.01,0,38
-19.47,-0.28,-1.63,36.11,-139.49,20.99,0.45,0.5,-0.05,0,39
-23.26,12.09,4.94,15.65,-45.18,6.15,0.62,0.3,0.21,0,40
4.76,0,10.72,-6.47,-37.44,0.53,1.02,-0.79,0.36,0,41
3.2,-1.17,10.65,21.64,-91.47,25.54,0.78,0.04,0.03,0,42
2.94,-1.69,15.47,-20.88,-69.26,-1.69,0.69,-0.04,-0.2,0,43
-11.43,4.92,17.78,24.19,-78.25,6.4,0.61,0.19,0.13,0,44
-4.24,9.16,20.67,-8.45,20.06,24.26,0.74,-0.02,0.17,0,45
16.76,2.64,22.46,11.99,36.73,-15.59,0.7,-0.17,0.1,0,46
18.94,5.66,17.9,-3.22,-11.04,0.23,0.93,-0.36,-0.07,0,47
8.67,-12.17,18.58,-13.35,33.87,40.03,0.96,-0.21,0.2,0,48
-2.84,10.4,22.41,15.17,-25.15,-0.18,0.85,-0.09,0.25,0,49
3.84,-15.63,22.03,8.54,88.12,40.34,0.73,-0.21,0.2,0,50
26.63,12.24,19.11,36.72,79.41,-40.02,0.89,-0.38,0.23,0,51
19.85,-8.62,8.95,-36.94,-33.9,-33.69,0.59,-0.18,-0.42,0,52
-0.72,4.45,10.37,9.67,-16.49,7.15,0.6,0.11,0.16,0,53
