pitch,roll,yaw,gyrox,gyroy,gyroz,accz,accx,accy,secayo,messageIndex
1.36,0.43,1.06,0.84,1.34,-0.55,1,0,0,0,0
-0.1,0.09,0.95,1.03,0.16,-0.4,1,0.01,-0.01,0,1
-0.39,0.09,0.87,0.54,0.44,0.09,1,0.02,0,0,2
-0.15,0.11,0.87,1.07,0.21,-0.32,1,0,0.01,0,3
3.65,-1.11,1.26,6.92,2.85,5.29,0.96,-0.13,-0.01,0,4
6.51,4.28,-0.07,-12.87,13.69,-11.85,0.91,-0.11,0.06,0,5
0.27,-2.46,-2.85,-4.47,37.49,-18.52,1.03,0.17,-0.1,0,6
-2.11,0.53,-9.32,-8.99,80.96,-30.45,1.11,0.14,0.06,0,7
4.97,-0.39,-16.06,-7.69,55.12,7.37,0.97,-0.14,0.39,0,9
10.92,0.74,-21.83,-10.04,52.15,-18.84,1.08,-0.23,0.06,0,10
10.52,-0.73,-24.03,-29.66,-12.19,10.71,1.05,-0.17,-0.01,0,11
-9.41,2.29,-22.98,42.26,-60.39,-8.35,0.97,0.29,0.01,0,12
-9.91,5.78,-22.09,-0.94,-3.49,4.29,1.09,0.15,0.07,0,13
-3.86,-1,-19.32,-3.54,20.47,12.33,0.85,0.05,0.23,0,14
10.45,3.76,-22.04,-8,33.38,-9.67,1.1,-0.18,0.16,0,15
-5.82,-10.1,-24.51,-33.93,6.79,-6.13,0.99,0.3,-0.5,0,16
-13.9,1.44,-22.21,27.55,-24.05,21.94,1.13,0.06,0.09,0,17
-6.28,6.55,-20,0.71,-3.21,3.6,1.03,0.07,-0.01,0,18
-2.24,-0.99,-19.68,12.32,64.77,-23.42,1,0,0.15,0,19
11.27,4.13,-23.02,-2.09,-21.44,-8.55,1.06,-0.19,0.08,0,20
-0.25,-10.46,-20.42,-26.56,13.28,40.15,1.2,-0.33,0.04,0,21
-7.95,8.12,-20.51,11.94,17.26,-2.2,1.05,0.13,0.19,0,22
-6.23,-15.05,-20.19,1.94,48.24,8.79,0.91,0.21,-0.18,0,23
11.78,1.86,-22.67,-2.16,79.02,-9.54,1.09,-0.27,0.07,0,24
6.71,-1.37,-26.62,-4.21,-32.1,-11.97,0.96,0.02,-0.3,0,25
-10.87,-1.46,-25.79,51.87,-63.21,-11.99,1.01,0.34,0.02,0,26
-5.97,7.64,-25.01,-2.15,16.67,4.71,1.04,0.1,0.11,0,27
3.13,-2.64,-24.58,10.14,53.22,-27.97,0.96,0.09,-0.01,0,28
12.53,3.11,-26.91,-6.82,-23.43,-11.32,1.12,-0.19,0.01,0,29
0.07,-7.87,-24.44,-28.3,-29.81,46.42,1.37,-0.28,0.24,0,30
-19.81,4.29,-24.07,-3.13,-55.62,22.04,1.19,0.29,0.13,0,31
-12.4,-11.84,-18.86,-25.25,16.86,15.66,1.02,0.22,-0.65,0,32
3,-2.63,-16.88,34.2,-79.47,8.64,1.32,-0.16,0,0,33
-17.51,4.94,-15.19,36.45,-123.46,10.76,1.2,0.1,0.1,0,34
-22.79,-1.86,-12.61,69.81,-272.01,0.01,1.25,0.55,-0.01,0,35
-31.88,9.8,-7.45,22.48,-60.25,19.39,1.14,0.38,0.24,0,36
-15.44,-2,-1.04,-14.36,-13.59,17.65,0.82,0.18,0.02,0,37
5.72,4.36,-0.73,14.87,-16.97,-5.04,1.2,-0.26,0.1,0,38
-9.31,-3.05,-1.29,-6.06,-32.2,7.69,1.05,0.06,-0.24,0,39
-21.62,2.07,0.21,-2.12,-47.09,14.1,1.11,0.23,0.17,0,40
-10.88,8.04,1.1,10.45,16.54,5.07,0.99,0.2,0.04,0,41
-6.34,0.78,2.53,-1.95,78.22,-18.17,1.06,-0.02,0.12,0,42
10.96,3.1,-0.27,-6.79,-15.18,-6.28,1.08,-0.19,0.1,0,43
0.88,-9.77,1.3,12.61,-120.16,-3.24,1.26,-0.16,-0.32,0,44
-15.68,7.94,0.65,9.99,14.41,1.36,1.16,0.24,0.19,0,45
-4.7,-7.14,3.18,-26.29,26.97,13,1.03,-0.04,0.22,0,46
9.55,3.09,0.52,2.52,46.45,-8.45,1.12,-0.18,0.09,0,47
-3.61,-8.01,-2.11,15.49,-11.32,-2.96,0.99,0.1,-0.46,0,48
-18.84,6.78,0.7,5.91,-32.78,16.2,1.08,0.36,0.21,0,49
