pitch,roll,yaw,gyrox,gyroy,gyroz,accz,accx,accy,secayo,messageIndex,,acc
-3.95,7.72,11.15,-2.07,28.77,13.79,1.47,0.01,0.16,0,70,,1.478715659
1.09,-1.45,14.92,-22.48,-11.31,-16.62,0.81,0.28,0.25,0,71,,0.892748565
17.49,5.78,17.31,17.05,6.68,-1.06,1.27,-0.37,0.12,0,72,,1.328231907
-7.88,-14.98,12.43,13.31,0.97,23.35,1.27,-0.11,-0.09,0,73,,1.27792801
-10,10.9,13.06,4.41,12.83,10.1,1.13,0.11,0.3,0,74,,1.174308307
-4.39,-18.99,12.6,37.5,134.02,32.56,0.66,0.08,-0.82,0,75,,1.055651458
9.02,3.22,15.67,3.26,10.07,4.11,1.21,-0.22,-0.01,0,76,,1.229878043
-13.97,-14.41,11.92,-1.99,59.93,20.53,1.23,0.24,-0.36,0,77,,1.303878829
-5.71,-11.4,12.75,1.58,-101.08,-22.38,1.08,0.02,-1,0,79,,1.472005435
4.58,3.08,16.81,-46.05,151.48,47.44,1.19,0,0.18,0,80,,1.203536456
12.03,-1.19,19.94,-62.07,-4.19,-36.5,1.17,0.04,-0.16,0,81,,1.181566756
1.28,7.37,16.33,38.65,-86.93,-55.55,1.17,0.06,0.21,0,82,,1.190210065
-3.55,6.98,16.12,-55.43,12.66,11.59,1.2,0.26,0.07,0,83,,1.229837388
-6.42,-3.29,20.49,-45.17,127.55,-5.52,0.92,-0.24,-0.69,0,84,,1.174776575
8.32,6.54,21,2.5,-51.49,7.52,1.28,-0.2,0.19,0,85,,1.309389171
-5.37,-4.91,19.23,9.06,-209.29,-40.1,1.07,0.3,0.03,0,86,,1.111665417
-7.87,6.86,18.13,2.47,35.84,-1.7,1.3,0.14,0.07,0,87,,1.309389171
2.03,-12.1,22.38,110.92,149.27,68.31,1.34,-0.08,-0.15,0,88,,1.350740538
12.15,7.54,24.67,-4.28,20.46,-17.83,1.23,-0.22,0.13,0,89,,1.256264303
-5.24,-15.79,18.23,14.94,27.09,0.68,1.11,0.2,-0.36,0,90,,1.18393412
-15.23,8.74,19.42,-1.76,-34.16,3.24,1.19,0.13,0.25,0,91,,1.222906374
-4.69,-3.55,19.59,-19.43,22.58,10.94,1.15,-0.02,-0.34,0,92,,1.199374837
6.54,0.73,21.49,32.5,59.64,2.68,1.34,-0.3,0.16,0,93,,1.382461573
5.28,3.62,20.84,-23.76,-70.85,-21.23,1.18,0.03,0.05,0,94,,1.1814398
-18.05,-5.74,16.32,56.82,-134.76,5.98,0.81,0.71,-0.08,0,95,,1.080092589
