pitch,roll,yaw,gyrox,gyroy,gyroz,accz,accx,accy,secayo,messageIndex
-3.59,8.22,-8.54,-5.95,43.87,12.71,1.1,-0.05,0.14,0,72
9.53,1.37,-3.85,-40.15,4.13,-11.42,1.01,-0.04,0.37,0,73
19.33,3.19,-2.17,-3.78,8.62,2.74,1.18,-0.41,0.14,0,74
2.27,-16.36,-6.26,-34.79,13.96,-13.64,1.02,-0.05,-0.47,0,75
-22.34,3.45,-10.59,34.81,45.99,15.38,0.95,0.15,0.05,0,76
-3.73,1.18,-6.83,-44.71,-8.89,-14.49,1.1,-0.21,-0.46,0,77
7.87,-4.31,-3.74,16.8,128.42,8.85,1.24,-0.39,0.12,0,78
17.44,1.27,-4.98,17.96,-33.88,-3.2,1.24,-0.4,0.08,0,79
7.54,-6.48,-7.43,15.13,-176.04,-28.08,1.3,-0.36,-0.01,0,80
-9.66,10.14,-9.12,11.96,27.61,7.23,1.03,0.1,0.25,0,81
3.78,-15.39,-6.59,44.74,222.61,95.66,1.14,-0.28,0.11,0,82
16.57,-1.74,-4.37,-2.53,24.33,3.52,1.07,-0.13,0,0,83
6.75,-6.65,-7.64,-26.06,-66.6,-36.02,1.03,0.02,-0.33,0,84
-21.82,0.5,-10.72,51.07,-54.34,0.01,0.91,0.34,0.09,0,85
-7.11,7.26,-9.58,6.05,15.7,-2.29,1.1,0.12,0.1,0,86
11.87,4.88,-2.94,-3.52,-59.79,-19.27,1.13,-0.17,0.53,0,87
10.62,-1.18,-3.36,14.02,-51.56,4.91,1.24,-0.34,0.03,0,88
-1.71,-11.38,-6.72,-23.03,-131.7,-36.92,1.29,0.11,-0.46,0,89
-32.62,6.01,-14.67,62.6,-107.78,-22.68,1,0.44,0.13,0,90
-18.22,8.82,-14.21,-21.77,-14.02,18.8,1.07,0.34,0.13,0,91
5.18,5.58,-8.17,-54.36,-47.07,-33.84,0.76,-0.34,-0.4,0,92
0.9,3.35,-4.22,25.1,-117.09,6.65,1.08,-0.15,0.11,0,93
0.11,-10.66,-8.55,-0.41,-145.81,-50.57,1.13,0.07,-0.58,0,94
-33.56,7.19,-13.71,21.04,-90.26,-5.04,1.16,0.27,0.24,0,95
-13.21,5.19,-13.95,-23.6,10.32,4.56,1.19,0.12,-0.17,0,96
2.89,-1.88,-9.43,10.89,77.48,1.32,0.67,0.19,-0.17,0,97
7.42,-0.28,-8.56,15.01,-66.8,3.57,1.1,-0.13,0.03,0,98
-3.59,-11.27,-11.05,-17.34,-56.23,-21.38,1.01,-0.01,-0.43,0,99
-12.4,2.89,-13.92,24.62,-61.64,17,1.19,-0.03,0.1,0,100
-5.42,5.28,-12.83,4.65,-22.75,3.61,1.04,0.14,0.02,0,101
8.74,-0.74,-9.5,-0.73,90.04,-7.7,0.63,0.04,-0.11,0,102
23.31,0.67,-12.18,-2.45,29.05,-15.79,1.15,-0.44,0.01,0,103
1.54,-16.22,-17.8,-28.16,37.6,9.51,0.89,0.07,-0.2,0,104
1.4,2.55,-16.18,1.68,-2.42,6.5,1.12,-0.16,0.13,0,105
5.23,-0.25,-15.29,-9.02,50.94,9.16,1.04,0,-0.11,0,106
11.64,-0.6,-9.5,-17.92,155.05,-12.13,0.98,-0.18,-0.16,0,107
22.2,1.31,-10.23,2.87,12.12,-6.75,1.2,-0.42,0.05,0,108
3.81,-13.35,-14.36,-13.51,9.43,21.13,1.28,-0.37,-0.16,0,109
-6.71,8.01,-15.14,29.03,-24.83,2.79,1.07,0.04,0.22,0,110
3.04,-12.91,-15.38,-14.65,-87.61,-6.52,1.06,-0.15,-0.62,0,111
18.11,-2.43,-10.77,-1.06,95.34,24.91,1.2,-0.44,0.15,0,112
14.33,0.7,-12.7,-19.26,-66.37,-33.44,0.97,-0.19,-0.17,0,113
2.25,-6.9,-15.22,16.23,-179.39,-35.45,1.05,0.09,-0.05,0,114
0.2,4.95,-15.13,-11.09,55.86,0.62,1.19,-0.14,0.01,0,115
7.66,-13.71,-10.09,3.12,141.86,56.91,1.06,-0.32,-0.15,0,116
22.44,-1.55,-5.16,23.78,-7.26,-6,1.37,-0.67,0.01,0,117
2.06,-10.45,-11.54,-45.34,-62.17,-36.34,1.39,0.06,-0.64,0,118
-23.45,2.49,-18.07,97.59,-17.04,-17.49,0.7,0.59,0.17,0,119
