pitch,roll,yaw,gyrox,gyroy,gyroz,accz,accx,accy,secayo,messageIndex
-20.47,5.91,-11.09,6.55,-27.6,17.4,0.97,0.32,0.13,0,0
-4.54,1.13,-5.07,5.68,-25.06,19.78,1.02,-0.07,0.07,0,1
-0.7,0.78,-2.16,7.18,-48.76,9.94,0.95,-0.04,-0.03,0,2
-0.85,0.85,1.74,17.99,-59.92,12.03,1,-0.07,0.01,0,3
-3.34,3.89,3.33,2.23,-62.77,1.49,0.98,-0.03,0.08,0,4
-8.49,-3.03,3.11,-6.4,-29,-0.16,1.03,0,0.04,0,5
-14.88,0.67,0.97,21.74,-29.43,-4.78,1.06,0.17,0.02,0,6
-17.49,4.89,1.28,13.51,-25.21,11.97,1.02,0.27,0.09,0,7
-14.1,5.71,5.35,-15.91,4.05,22.09,1.02,0.25,0.12,0,8
-3.64,2.68,8.3,3.7,29.58,1.94,0.9,-0.15,-0.02,0,9
3.56,1.02,8.86,10.58,-28.74,6.45,0.96,-0.1,-0.02,0,10
-2.64,3.21,9.08,1.71,-26.57,-1.81,0.97,0,0.06,0,11
-11.26,-6.9,7.94,12.92,80.53,32.16,1.02,-0.12,0.09,0,12
-18.12,3.15,8.48,21.41,-52.33,11.34,1.06,0.13,0.15,0,13
-18.21,5.99,11.3,6.44,-15.28,15.51,1.01,0.27,0.15,0,14
-12.51,-6.42,15.06,-30.78,-21,-2.89,0.85,0.29,-0.58,0,15
2.52,-1.24,17.37,21.62,31.72,-4.13,0.96,-0.18,-0.06,0,16
9.07,0.09,18.57,18.93,-18.1,14.18,0.92,-0.08,0.01,0,17
6.8,6.02,19.75,-18.3,-22.39,-0.4,0.97,-0.18,0.13,0,18
6.29,-1,19.33,-25.07,-25.24,13.34,1.2,-0.42,0.08,0,19
-14.08,4.53,15.78,23.42,-65.31,-3.33,0.89,0.3,0.13,0,20
-9.55,6.22,17.79,6.89,25.43,10.73,0.91,0.21,0.12,0,21
1.5,1.62,20.89,-18.49,13.41,2.71,0.96,-0.04,0.24,0,22
8.4,-0.26,17.39,-14.34,78.85,3.81,1.08,-0.25,-0.02,0,23
7.2,4.24,16.8,-11.6,-53.87,-7.96,1.06,-0.09,0.13,0,24
